教科等名,1年,2年,3年,4年,5年,6年,特支
国語,327,321,257,255,181,176,176
社会,0,0,80,97,105,107,70
算数,157,181,187,187,181,177,175
理科,0,0,91,106,106,105,70
生活,117,111,0,0,0,0,0
音楽,73,75,61,61,51,50,35
図画工作,73,70,60,60,50,50,35
家庭,0,0,0,0,61,55,50
体育,112,108,106,106,91,90,90
外国語,0,0,0,0,70,70,70
特別の教科　道徳,34,35,35,35,35,35,35
外国語活動,0,0,35,35,0,0,0
総合的な学習の時間,0,0,70,70,70,70,70
学級活動,34,35,35,35,35,35,0
児童会活動,8,8,8,8,8,8,8
クラブ活動,0,0,0,9,9,9,9
学校行事,40,36,36,38,50,53,50
委員会活動,0,0,0,0,10,10,10
自立活動,0,0,0,0,0,0,175
各教科等を合わせた指導,0,0,0,0,0,0,0
創意の時間,2,2,0,0,0,0,0
